Protein,Importance
P01861_IGHG4,0.025438138349270334
P08519_LPA,0.023736101650153302
Q03591_CFHR1,0.02067509293270635
A0A075B7D0_IGHV1OR15.1,0.01955932113269012
A0A075B6K4_IGLV3.10,0.016028939702951647
P01880_IGHD,0.01567633483942156
P01704_IGLV2.14,0.01560438065453118
P01876_IGHA1,0.014550172293174159
P00739_HPR,0.013640848836416433
P01871_IGHM,0.013521456352095207
P00738_HP,0.013277936927970642
A0A075B6J9_IGLV2.18,0.012677072572216883
P20742_PZP,0.012087558619932135
A0A0C4DH68_IGKV2.24,0.01149980352644066
P01714_IGLV3.19,0.010973380065073236
P36980_CFHR2,0.01085753129850914
P01859_IGHG2,0.009509457036953462
P0DJI8_SAA1,0.008841393919383017
P04278_SHBG,0.008400612724430186
A0A087WW87_IGKV2.40,0.008377667705500167
P11226_MBL2,0.008285208323641964
A0A0C4DH36_IGHV3.38,0.007840225707669245
O43866_CD5L,0.007068375561124203
P01701_IGLV1.51,0.006847039943289284
P05023_ATP1A1,0.006707427059707797
Q8WXI7_NA,0.00642243642936317
P00748_F12,0.00634976431741762
Q8WYL5_SSH1,0.006314986301457707
P01019_AGT,0.006168287125643898
A0A0G2JRQ6_NA,0.006122245864977583
P01619_IGKV3.20,0.0059434017774682634
P01009_SERPINA1,0.005888671996043798
Q06033_ITIH3,0.005773239962835345
P01717_IGLV3.25,0.005748848608669608
Q9UI08_EVL,0.0057292032374996705
Q8WVV9_HNRNPLL,0.005700589224872082
A0A0B4J1U7_IGHV6.1,0.005505909328451983
Q15848_ADIPOQ,0.005439676572140979
P01877_IGHA2,0.005414703101450247
A0A075B6S2_IGKV2D.29,0.005322639226322885
P02787_TF,0.0052345389834397675
P01599_IGKV1.17,0.0050019314447151105
A0A075B6I4_IGLV10.54,0.004992000733565984
P01718_IGLV3.27,0.0049670881333496505
O75636_FCN3,0.00491163420580917
P01782_IGHV3.9,0.004805307244315093
P80748_IGLV3.21,0.0047904167001969035
P01593_IGKV1D.33,0.0046939759115752246
P01780_IGHV3.7,0.004609352679771089
A0A0C4DH24_IGKV6.21,0.004590014684363183
A0A0B4J2H0_IGHV1.69D,0.00456563123878027
P01008_SERPINC1,0.004506527403691143
P55058_PLTP,0.004344394541895758
A0A0C4DH33_IGHV1.24,0.004134418566542602
